Basisschool advies,Voorkeur 1,Voorkeur 2,Voorkeur 3,Voorkeur 4,Voorkeur 5,Voorkeur 6,Voorkeur 7,Voorkeur 8,Voorkeur 9,Voorkeur 10,Voorkeur 11,Voorkeur 12,Voorkeur 13,Voorkeur 14,Voorkeur 15,Voorkeur 16,Voorkeur 17,Voorkeur 18,Voorkeur 19,Voorkeur 20,Voorkeur 21,Voorkeur 22
havo,Gerrit van der Veen College - v.a. havo,DENISE - Denise Havo - v.a. havo,Spinoza Lyceum - v.a. havo,Marcanti College - v.a. havo,Ir. Lely Lyceum - Kansrijk HAVO - vmbo-t/havo,Spring High - v.a. vmbo-t,IJburg College - v.a. vmbo-b,Hubertus & Berkhoff - v.a. vmbo-t,Wellantcollege Linnaeus - v.a. vmbo-b,Ir. Lely Lyceum - v.a. vmbo-t,Mundus College - v.a. vmbo-b,Over-Y - Kansrijk HAVO - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Geert Groote College - v.a. havo,Sweelinck College - Kansrijk HAVO - vmbo-t/havo,Vox College - Kansrijk VWO - havo/vwo,Huygens College - v.a. vmbo-b,Wellantcollege Sloten - v.a. vmbo-b,Clusius College - v.a. vmbo-b,Spinoza Lyceum - Muziekplus - v.a. havo,Sweelinck College - v.a. vmbo-t,Calandlyceum - Technasium - vwo,Hervormd Lyceum Zuid - v.a. havo,Alasca - vwo,Comenius Lyceum Amsterdam - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Lumion - v.a. havo,Cartesius Lyceum - vwo,St. Nicolaaslyceum - v.a. havo,IVKO - Kansrijk HAVO - vmbo-t/havo,Bindelmeer College - v.a. vmbo-b,DENISE - Denise TL - v.a. vmbo-t,Montessori Lyceum Oostpoort - Kansrijk VWO - havo/vwo,Montessori Lyceum Amsterdam - v.a. havo,Huygens College - Kansrijk Kader - vmbo-b/k,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. vmbo-t,Marcanti College - vmbo-k,Vossius Gymnasium - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Berlage Lyceum - Tweetalig - v.a. havo,Spinoza Lyceum - Gymnasium - vwo,Damstede - v.a. havo,Kiem Montessori - v.a. vmbo-t,Mediacollege Amsterdam - v.a. vmbo-b,Huygens College - Kansrijk Kader - vmbo-b/k,Open Schoolgemeenschap Bijlmer - v.a. vmbo-t,Bernard Nieuwentijt College (Monnickendam) - v.a. vmbo-t,Hervormd Lyceum West - Tweetalig - v.a. havo,IVKO - v.a. havo,SvPO Amsterdam - Kansrijk VWO - havo/vwo,Mundus College - vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Ir. Lely Lyceum - v.a. vmbo-t,Pieter Nieuwland College - v.a. havo,Montessori Lyceum Oostpoort - Kansrijk Kader - vmbo-b/k,Huygens College - Kansrijk Kader - vmbo-b/k,Berlage Lyceum - Tweetalig - vwo,Calandlyceum - havo/vwo,Hervormd Lyceum West - Kansrijk HAVO - vmbo-t/havo,Marcanti College - v.a. vmbo-b,Bernard Nieuwentijt College (Monnickendam) - Kansrijk HAVO - vmbo-t/havo,Zuiderlicht College - Talentendansklas - v.a. vmbo-b,Spinoza Lyceum - vwo,Cygnus gymnasium - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Gerrit van der Veen College - v.a. havo,Montessori Lyceum Oostpoort - Kansrijk HAVO - vmbo-t/havo,Over-Y - havo,Xplore - v.a. vmbo-t,Sweelinck College - v.a. vmbo-t,Montessori Lyceum Oostpoort - v.a. havo,Cygnus gymnasium - vwo,Hervormd Lyceum West - Tweetalig - v.a. havo,SvPO Amsterdam - v.a. havo,Lumion - Kansrijk VWO - havo/vwo,Panta Rhei - Kansrijk Kader - vmbo-b/k,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,IVKO - v.a. havo,Marcanti College - v.a. vmbo-b,Bernard Nieuwentijt College (Monnickendam) - Kansrijk HAVO - vmbo-t/havo,Marcanti College - vwo,Amsterdams Beroepscollege Noorderlicht - vmbo-k,Marcanti College - v.a. vmbo-t,IJburg College - v.a. vmbo-b,Ir. Lely Lyceum - Kansrijk VWO - havo/vwo,DENISE - Denise VWO - vwo,Geert Groote College - v.a. vmbo-t,Geert Groote College - Kansrijk HAVO - vmbo-t/havo,Comenius Lyceum Amsterdam - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Hervormd Lyceum West - v.a. havo,Open Schoolgemeenschap Bijlmer - v.a. vmbo-b,Hervormd Lyceum West - Tweetalig - v.a. havo,Open Schoolgemeenschap Bijlmer - vmbo-k,Cygnus gymnasium - vwo,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Montessori Lyceum Oostpoort - Kansrijk VWO - havo/vwo,Geert Groote College - vwo,Barlaeus Gymnasium - vwo,CSB - Kansrijk VWO - havo/vwo,Cburg College - v.a. vmbo-b,Amsterdams Beroepscollege Noorderlicht - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Metis Montessori Lyceum - Technasium havo/vwo - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Havo de Hof - v.a. havo,Cornelius Haga Lyceum - v.a. havo,Vox College - v.a. vmbo-b,De nieuwe Havo - v.a. havo,Ir. Lely Lyceum - Kansrijk VWO-Technasium - havo/vwo,Comenius Lyceum Amsterdam - vwo,IJburg College - v.a. vmbo-t,Bredero Mavo - Tweetalig - v.a. vmbo-t,Cburg College - v.a. vmbo-b,Calandlyceum - Kansrijk VWO - havo/vwo,Berlage Lyceum - Tweetalig - vwo,Vossius Gymnasium - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Montessori Lyceum Amsterdam - v.a. havo,Hervormd Lyceum West - Tweetalig - v.a. havo,Comenius Lyceum Amsterdam - v.a. havo,Hubertus & Berkhoff - v.a. vmbo-t,Hervormd Lyceum Zuid - v.a. havo,Cornelius Haga Lyceum - v.a. vmbo-t,Gerrit van der Veen College - vwo,Lumion - v.a. vmbo-t,Zuiderlicht College - v.a. vmbo-b,Over-Y - Kansrijk HAVO - vmbo-t/havo,SvPO Amsterdam - Kansrijk VWO - havo/vwo,Calandlyceum - LOOT - v.a. vmbo-t,Montessori Lyceum Amsterdam - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Calandlyceum - havo,Marcanti College - vwo,Bernard Nieuwentijt College (Monnickendam) - v.a. vmbo-t,Geert Groote College - vwo,Geert Groote College - v.a. vmbo-t,De Amsterdamse MAVO - v.a. vmbo-t,SvPO Amsterdam - v.a. havo,Lumion - Kansrijk HAVO - vmbo-t/havo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. havo,College De Meer - Kansrijk HAVO (icm Havo de Hof) - vmbo-t/havo,Pieter Nieuwland College - Kansrijk VWO - havo/vwo,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,College De Meer - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Open Schoolgemeenschap Bijlmer - v.a. havo,IJburg College - v.a. vmbo-b,Montessori Lyceum Oostpoort - Kansrijk VWO - havo/vwo,CSB - v.a. vmbo-t,Spinoza Lyceum - Muziekplus - v.a. havo,Lumion - Kansrijk HAVO - vmbo-t/havo,Montessori Lyceum Amsterdam - vwo,Cburg College - v.a. vmbo-b,Alasca - v.a. havo,Clusius College - Kansrijk Kader - vmbo-b/k,Bredero Mavo - Tweetalig - v.a. vmbo-t,Comenius Lyceum Amsterdam - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Metis Montessori Lyceum - Technasium havo/vwo - v.a. havo,Spinoza Lyceum - vwo,Vox College - vwo,Huygens College - v.a. vmbo-b,Mundus College - vmbo-t,Vossius Gymnasium - vwo,Calandlyceum - vmbo-t/havo,Hervormd Lyceum West - v.a. vmbo-t,Open Schoolgemeenschap Bijlmer - vmbo-k,Zuiderlicht College - Kansrijk Kader - vmbo-b/k,Wellantcollege Sloten - vmbo-t,Ir. Lely Lyceum - Kansrijk HAVO-Technasium - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Calandlyceum - LOOT - v.a. vmbo-t,Panta Rhei - v.a. vmbo-b,Hervormd Lyceum West - Kansrijk VWO - havo/vwo,SvPO Amsterdam - Kansrijk VWO - havo/vwo,Barlaeus Gymnasium - vwo,Montessori Lyceum Oostpoort - v.a. havo,Panta Rhei - Kansrijk Kader - vmbo-b/k,Hubertus & Berkhoff - Tweetalig - vmbo-k,College De Meer - Kansrijk HAVO (icm Havo de Hof) - vmbo-t/havo,Montessori Lyceum Amsterdam - Sluisbuurt - vwo,Berlage Lyceum - Tweetalig - v.a. vmbo-t,Spinoza Lyceum - v.a. vmbo-t,DENISE - Denise Havo - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Ir. Lely Lyceum - v.a. vmbo-t,Hervormd Lyceum West - Kansrijk VWO - havo/vwo,Comenius Lyceum Amsterdam - vwo,Spinoza Lyceum - v.a. vmbo-t,Alasca - vwo,Mediacollege Amsterdam - vmbo-k,Damstede - vwo,Marcanti College - v.a. havo,Montessori Lyceum Amsterdam - Gymnasium - vwo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. vmbo-t,Ir. Lely Lyceum - Kansrijk HAVO - vmbo-t/havo,Pieter Nieuwland College - plus - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Fons Vitae Lyceum - v.a. havo,IVKO - Kansrijk HAVO - vmbo-t/havo,Hubertus & Berkhoff - v.a. vmbo-b,Mediacollege Amsterdam - vmbo-k,Zuiderlicht College - v.a. vmbo-b,Montessori Lyceum Amsterdam - Sluisbuurt - vwo,St. Nicolaaslyceum - Tweetalig Onderwijs - vwo,DENISE - Denise VWO - vwo,Ir. Lely Lyceum - Technasium - v.a. vmbo-t,St. Nicolaaslyceum - vwo,IVKO - v.a. vmbo-t,Hervormd Lyceum Zuid - Kansrijk VWO - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
