Basisschool advies,Voorkeur 1,Voorkeur 2,Voorkeur 3,Voorkeur 4,Voorkeur 5,Voorkeur 6,Voorkeur 7,Voorkeur 8,Voorkeur 9,Voorkeur 10,Voorkeur 11,Voorkeur 12,Voorkeur 13,Voorkeur 14,Voorkeur 15,Voorkeur 16,Voorkeur 17,Voorkeur 18,Voorkeur 19,Voorkeur 20,Voorkeur 21,Voorkeur 22
havo,CSB - v.a. vmbo-t,Montessori Lyceum Amsterdam - v.a. havo,Berlage Lyceum - Tweetalig - v.a. havo,Open Schoolgemeenschap Bijlmer - v.a. havo,Montessori Lyceum Oostpoort - Kansrijk Kader - vmbo-b/k,Bredero Mavo - v.a. vmbo-t,Damstede - vwo,Cartesius Lyceum - v.a. havo,Clusius College - Kansrijk Kader - vmbo-b/k,De Amsterdamse MAVO - v.a. vmbo-t,Montessori Lyceum Amsterdam - v.a. vmbo-t,IVKO - DAMU - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Havo de Hof - v.a. havo,Hervormd Lyceum Zuid - v.a. havo,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,Bernard Nieuwentijt College (Monnickendam) - Kansrijk HAVO - vmbo-t/havo,Hervormd Lyceum West - v.a. havo,Mediacollege Amsterdam - Kansrijk Kader - vmbo-b/k,Mundus College - v.a. vmbo-b,St. Nicolaaslyceum - vwo,Zuiderlicht College - Kansrijk Kader - vmbo-b/k,Over-Y - Kansrijk HAVO - vmbo-t/havo,Spinoza Lyceum - Kansrijk VWO - havo/vwo,Pieter Nieuwland College - Kansrijk VWO - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Hervormd Lyceum West - v.a. havo,Alasca - v.a. havo,Comenius Lyceum Amsterdam - v.a. havo,IJburg College - v.a. vmbo-t,St. Nicolaaslyceum - vwo,Kiem Montessori - v.a. vmbo-t,Cornelius Haga Lyceum - v.a. havo,Hyperion Lyceum - vwo,Marcanti College - v.a. havo,Panta Rhei - v.a. vmbo-b,Sweelinck College - v.a. vmbo-t,Amsterdams Beroepscollege Noorderlicht - v.a. vmbo-b,Lumion - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Gerrit van der Veen College - v.a. havo,Hervormd Lyceum West - Tweetalig - vwo,Calandlyceum - havo,De nieuwe Havo - v.a. havo,Wellantcollege Linnaeus - v.a. vmbo-b,Panta Rhei - v.a. vmbo-b,Bredero Beroepscollege - v.a. vmbo-b,St. Nicolaaslyceum - Tweetalig Onderwijs - vwo,Lumion - v.a. vmbo-t,Spring High - v.a. vmbo-t,IVKO - v.a. havo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. havo,Spinoza Lyceum - Gymnasium - vwo,Vinse School - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA
havo,Calandlyceum - LOOT - v.a. vmbo-t,Bernard Nieuwentijt College (Monnickendam) - Kansrijk HAVO - vmbo-t/havo,Comenius Lyceum Amsterdam - v.a. vmbo-t,Lumion - Kansrijk VWO - havo/vwo,Geert Groote College - vwo,Metis Montessori Lyceum - Coderclass of Metisprofiel vwo - vwo,Wellantcollege Sloten - v.a. vmbo-b,Bindelmeer College - v.a. vmbo-b,Spinoza Lyceum - vwo,CSB - Kansrijk HAVO - vmbo-t/havo,Calandlyceum - havo/vwo,Mediacollege Amsterdam - vmbo-k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Gerrit van der Veen College - v.a. havo,Montessori Lyceum Amsterdam - v.a. havo,Calandlyceum - havo,Spring High - v.a. vmbo-t,Cygnus gymnasium - vwo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. havo,Alasca - vwo,Bernard Nieuwentijt College (Monnickendam) - v.a. havo,Gerrit van der Veen College - kunst+klas  - v.a. havo,Calandlyceum - Kansrijk HAVO - vmbo-t/havo,Fons Vitae Lyceum - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Comenius Lyceum Amsterdam - v.a. havo,Alasca - v.a. havo,IJburg College - v.a. vmbo-t,Panta Rhei - Kansrijk Kader - vmbo-b/k,Geert Groote College - vwo,Over-Y - v.a. vmbo-t,Geert Groote College - Kansrijk HAVO - vmbo-t/havo,Zuiderlicht College - Kansrijk Kader - vmbo-b/k,Spinoza Lyceum - v.a. vmbo-t,Spinoza Lyceum - Kansrijk VWO - havo/vwo,Hervormd Lyceum West - Kansrijk HAVO - vmbo-t/havo,Comenius Lyceum Amsterdam - Kansrijk HAVO - vmbo-t/havo,Sweelinck College - Kansrijk HAVO - vmbo-t/havo,Berlage Lyceum - Tweetalig - v.a. havo,Ir. Lely Lyceum - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA
havo,IVKO - v.a. havo,De nieuwe Havo - v.a. havo,Fons Vitae Lyceum - vwo,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,St. Nicolaaslyceum - vwo,Bredero Beroepscollege - v.a. vmbo-b,College De Meer - Kansrijk HAVO (icm Havo de Hof) - vmbo-t/havo,Zuiderlicht College - v.a. vmbo-b,Spinoza Lyceum - vwo,Calvijn College - Kansrijk Kader - vmbo-b/k,Spinoza Lyceum - Gymnasium - vwo,Metis Montessori Lyceum - Technasium vwo - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Spinoza20first - v.a. vmbo-t,Ir. Lely Lyceum - Kansrijk HAVO-Technasium - vmbo-t/havo,Spinoza Lyceum - v.a. vmbo-t,Calandlyceum - LOOT - v.a. vmbo-t,Montessori Lyceum Oostpoort - Kansrijk Kader - vmbo-b/k,Montessori Lyceum Amsterdam - v.a. vmbo-t,Vox College - Kansrijk VWO - havo/vwo,Hervormd Lyceum Zuid - Universalis - vwo,Spinoza Lyceum - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,De nieuwe Havo - v.a. havo,Calandlyceum - havo,CSB - Kansrijk HAVO - vmbo-t/havo,Montessori Lyceum Oostpoort - v.a. havo,Spinoza Lyceum - vwo,Lumion - v.a. vmbo-t,Sweelinck College - v.a. vmbo-t,Calandlyceum - havo/vwo,Mediacollege Amsterdam - vmbo-k,Huygens College - Kansrijk Kader - vmbo-b/k,Marcanti College - v.a. vmbo-b,Vox College - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,St. Nicolaaslyceum - v.a. havo,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,Open Schoolgemeenschap Bijlmer - v.a. havo,Calandlyceum - vmbo-t/havo,Marcanti College - vmbo-k,Hyperion Lyceum - vwo,Hervormd Lyceum Zuid - Kansrijk VWO - havo/vwo,Vox College - v.a. vmbo-t,DENISE - Denise VWO - vwo,Amsterdams Beroepscollege Noorderlicht - v.a. vmbo-b,Vossius Gymnasium - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Geert Groote College - v.a. havo,Montessori Lyceum Amsterdam - Gymnasium - vwo,Berlage Lyceum - Tweetalig - v.a. havo,Hervormd Lyceum West - v.a. vmbo-t,Gerrit van der Veen College - vwo,DENISE - Denise TL - v.a. vmbo-t,Marcanti College - vwo,Calandlyceum - vwo,College De Meer - v.a. vmbo-b,Barlaeus Gymnasium - vwo,Hubertus & Berkhoff - v.a. vmbo-t,Berlage Lyceum - Kansrijk VWO - Tweetalig - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Vox College - v.a. havo,Vox College - vwo,Sweelinck College - v.a. vmbo-t,Calvijn College - Kansrijk Kader - vmbo-b/k,Montessori Lyceum Oostpoort - Kansrijk HAVO - vmbo-t/havo,Comenius Lyceum Amsterdam - Kansrijk VWO - havo/vwo,Fons Vitae Lyceum - v.a. havo,Bredero Mavo - Tweetalig - v.a. vmbo-t,Hervormd Lyceum Zuid - v.a. havo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. vmbo-t,Geert Groote College - v.a. vmbo-t,Hubertus & Berkhoff - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Berlage Lyceum - Tweetalig - v.a. havo,Calandlyceum - Technasium - vwo,Metis Montessori Lyceum - Technasium havo/vwo - v.a. havo,Mundus College - v.a. vmbo-b,Spinoza Lyceum - vwo,Lumion - vwo,Clusius College - Kansrijk Kader - vmbo-b/k,Montessori Lyceum Oostpoort - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,SvPO Amsterdam - v.a. havo,Vinse School - v.a. vmbo-t,IJburg College - v.a. vmbo-t,Vox College - v.a. vmbo-b,Cartesius Lyceum - vwo,Hervormd Lyceum Zuid - vwo,Lumion - Kansrijk HAVO - vmbo-t/havo,Bernard Nieuwentijt College (Monnickendam) - Kansrijk HAVO - vmbo-t/havo,Bredero Mavo - v.a. vmbo-t,Cburg College - v.a. vmbo-b,Calandlyceum - vmbo-t,Montessori Lyceum Amsterdam - Sluisbuurt - vwo,Calvijn College - v.a. vmbo-b,Montessori Lyceum Amsterdam - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA
havo,Damstede - v.a. havo,Zuiderlicht College - v.a. vmbo-b,Calandlyceum - vwo,College De Meer - v.a. vmbo-t,Ir. Lely Lyceum - Kansrijk VWO-Technasium - havo/vwo,Open Schoolgemeenschap Bijlmer - v.a. vmbo-b,Lumion - v.a. havo,Kiem Montessori - v.a. vmbo-t,Hervormd Lyceum West - v.a. havo,IVKO - Kansrijk HAVO - vmbo-t/havo,Montessori Lyceum Oostpoort - v.a. vmbo-b,Cornelius Haga Lyceum - vwo,Spinoza Lyceum - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Fons Vitae Lyceum - v.a. havo,Geert Groote College - Kansrijk VWO - havo/vwo,Het Amsterdams Lyceum - vwo,Mediacollege Amsterdam - vmbo-t,De Amsterdamse MAVO - v.a. vmbo-t,Hubertus & Berkhoff - Tweetalig - vmbo-k,Cartesius Lyceum - v.a. havo,Cornelius Haga Lyceum - vwo,Montessori Lyceum Oostpoort - v.a. vmbo-b,Het 4e Gymnasium - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Gerrit van der Veen College - kunst+klas  - v.a. havo,Clusius College - Kansrijk Kader - vmbo-b/k,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Cornelius Haga Lyceum - v.a. vmbo-t,Hervormd Lyceum Zuid - Universalis - vwo,Spinoza Lyceum - Gymnasium - vwo,IVKO - v.a. vmbo-t,Geert Groote College - v.a. havo,Pieter Nieuwland College - plus - vwo,Cornelius Haga Lyceum - v.a. havo,IJburg College - v.a. vmbo-b,Berlage Lyceum - Tweetalig - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Montessori Lyceum Oostpoort - v.a. havo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. havo,St. Nicolaaslyceum - vwo,Montessori Lyceum Oostpoort - v.a. vmbo-b,Pieter Nieuwland College - plus - vwo,Joodse Scholengemeenschap Maimonides  - v.a. vmbo-t,Hubertus & Berkhoff - v.a. vmbo-t,Open Schoolgemeenschap Bijlmer - vwo,CSB - v.a. vmbo-t,Metis Montessori Lyceum - Technasium havo/vwo - v.a. havo,Montessori Lyceum Amsterdam - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Pieter Nieuwland College - v.a. havo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. havo,Lumion - v.a. vmbo-t,IJburg College - v.a. vmbo-b,Gerrit van der Veen College - vwo,IVKO - Kansrijk HAVO - vmbo-t/havo,Hubertus & Berkhoff - v.a. vmbo-t,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. vmbo-t,Mediacollege Amsterdam - v.a. vmbo-b,Hervormd Lyceum West - Kansrijk VWO - havo/vwo,Cartesius Lyceum - Kansrijk VWO - havo/vwo,Bindelmeer College - Kansrijk Kader - vmbo-b/k,Calvijn College - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Lumion - v.a. havo,Cartesius Lyceum - v.a. havo,Geert Groote College - vwo,Bindelmeer College - v.a. vmbo-b,Het 4e Gymnasium - vwo,Montessori Lyceum Amsterdam - vwo,Bernard Nieuwentijt College (Monnickendam) - v.a. havo,Mediacollege Amsterdam - vmbo-k,Pieter Nieuwland College - vwo,St. Nicolaaslyceum - Tweetalig Onderwijs - vwo,Fons Vitae Lyceum - vwo,Montessori Lyceum Amsterdam - Sluisbuurt - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Ir. Lely Lyceum - v.a. vmbo-t,Ir. Lely Lyceum - Kansrijk HAVO-Technasium - vmbo-t/havo,Calandlyceum - vmbo-t/havo,Sweelinck College - Kansrijk HAVO - vmbo-t/havo,Barlaeus Gymnasium - vwo,Wellantcollege Sloten - vmbo-t,Hervormd Lyceum West - Kansrijk VWO - havo/vwo,Cburg College - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,SvPO Amsterdam - v.a. havo,DENISE - Denise VWO - vwo,Hervormd Lyceum Zuid - Universalis - vwo,Geert Groote College - vwo,Joodse Scholengemeenschap Maimonides  - v.a. vmbo-t,Bernard Nieuwentijt College (Monnickendam) - v.a. vmbo-t,Montessori Lyceum Amsterdam - Sluisbuurt - vwo,Hervormd Lyceum West - Kansrijk HAVO - vmbo-t/havo,CSB - v.a. vmbo-t,Vox College - v.a. vmbo-t,Berlage Lyceum - Tweetalig - vwo,Calandlyceum - Technasium - havo/vwo,Het Amsterdams Lyceum - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Berlage Lyceum - Tweetalig - v.a. havo,Vossius Gymnasium - vwo,Calvijn College - v.a. vmbo-b,Huygens College - Kansrijk Kader - vmbo-b/k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Metis Montessori Lyceum - Technasium havo/vwo - v.a. havo,Cburg College - v.a. vmbo-b,St. Nicolaaslyceum - Tweetalig Onderwijs - vwo,Spinoza Lyceum - Muziekplus - v.a. havo,Xplore - v.a. vmbo-t,Open Schoolgemeenschap Bijlmer - v.a. vmbo-b,Mediacollege Amsterdam - Kansrijk Kader - vmbo-b/k,Berlage Lyceum - Tweetalig - v.a. vmbo-t,Vox College - vwo,Gerrit van der Veen College - vwo,Fons Vitae Lyceum - vwo,Calvijn College - v.a. vmbo-b,Zuiderlicht College - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Montessori Lyceum Amsterdam - v.a. havo,Vox College - v.a. vmbo-b,Geert Groote College - Kansrijk HAVO - vmbo-t/havo,Mundus College - vmbo-t,Montessori Lyceum Oostpoort - Kansrijk HAVO - vmbo-t/havo,College De Meer - v.a. vmbo-b,Bredero Mavo - Tweetalig - v.a. vmbo-t,Marcanti College - vwo,Bindelmeer College - Kansrijk Kader - vmbo-b/k,Comenius Lyceum Amsterdam - vwo,Ir. Lely Lyceum - Kansrijk VWO-Technasium - havo/vwo,Comenius Lyceum Amsterdam - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Spinoza Lyceum - Muziekplus - v.a. havo,Alasca - vwo,Sweelinck College - v.a. vmbo-t,DENISE - Denise Havo - v.a. havo,Bernard Nieuwentijt College (Monnickendam) - v.a. vmbo-t,Hervormd Lyceum Zuid - vwo,Berlage Lyceum - Tweetalig - vwo,Lumion - vwo,Open Schoolgemeenschap Bijlmer - v.a. vmbo-t,Cartesius Lyceum - Kansrijk VWO - havo/vwo,Comenius Lyceum Amsterdam - Kansrijk HAVO - vmbo-t/havo,Geert Groote College - Kansrijk VWO - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Montessori Lyceum Amsterdam - v.a. havo,Marcanti College - vmbo-k,Vox College - Kansrijk VWO - havo/vwo,Bernard Nieuwentijt College (Monnickendam) - Kansrijk HAVO - vmbo-t/havo,CSB - Kansrijk VWO - havo/vwo,Marcanti College - v.a. havo,Over-Y - havo,Montessori Lyceum Amsterdam - v.a. vmbo-t,Spinoza Lyceum - v.a. havo,Ir. Lely Lyceum - Technasium - v.a. vmbo-t,College De Meer - Kansrijk HAVO (icm Havo de Hof) - vmbo-t/havo,Hervormd Lyceum West - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Lumion - vwo,College De Meer - Kansrijk HAVO (icm Havo de Hof) - vmbo-t/havo,DENISE - Denise Havo - v.a. havo,Het 4e Gymnasium - vwo,Montessori Lyceum Oostpoort - Kansrijk Kader - vmbo-b/k,Pieter Nieuwland College - vwo,Panta Rhei - v.a. vmbo-b,Over-Y - v.a. vmbo-t,Vox College - v.a. vmbo-t,IVKO - v.a. havo,IVKO - Kansrijk HAVO - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,St. Nicolaaslyceum - v.a. havo,Vox College - Kansrijk HAVO - vmbo-t/havo,Comenius Lyceum Amsterdam - Kansrijk HAVO - vmbo-t/havo,Ir. Lely Lyceum - Kansrijk HAVO - vmbo-t/havo,Bernard Nieuwentijt College (Monnickendam) - v.a. vmbo-t,Damstede - v.a. havo,Vossius Gymnasium - vwo,Comenius Lyceum Amsterdam - vwo,Ir. Lely Lyceum - Kansrijk VWO - havo/vwo,Calandlyceum - vmbo-t,Comenius Lyceum Amsterdam - Kansrijk VWO - havo/vwo,Geert Groote College - Kansrijk VWO - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Calandlyceum - havo,Mundus College - vmbo-k,SvPO Amsterdam - vwo,Montessori Lyceum Oostpoort - Kansrijk Kader - vmbo-b/k,Cornelius Haga Lyceum - v.a. vmbo-t,Panta Rhei - v.a. vmbo-b,Cornelius Haga Lyceum - vwo,Spinoza Lyceum - Kansrijk VWO - havo/vwo,Cygnus gymnasium - vwo,Pieter Nieuwland College - Kansrijk VWO - havo/vwo,Open Schoolgemeenschap Bijlmer - vmbo-k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Damstede - v.a. havo,Geert Groote College - v.a. vmbo-t,Open Schoolgemeenschap Bijlmer - vwo,DENISE - Denise TL - v.a. vmbo-t,Ir. Lely Lyceum - Kansrijk VWO-Technasium - havo/vwo,Hyperion Lyceum - vwo,Vossius Gymnasium - vwo,Calvijn College - Kansrijk Kader - vmbo-b/k,Hervormd Lyceum West - v.a. vmbo-t,Calandlyceum - vmbo-t,Ignatiusgymnasium - vwo,Wellantcollege Sloten - vmbo-t,Vox College - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA
